Frequency_GHz,Real_Epsilon,Imag_Epsilon,Mu
3.0,11.270603020388513,-0.030080234988913934,1.0
3.1,11.28133442712268,-0.025473219928532048,1.0
3.2,11.291775212544339,-0.021004574309447542,1.0
3.3,11.301942487295253,-0.016666609905662544,1.0
3.4,11.311851869343752,-0.012452281336649329,1.0
3.5,11.321517653872668,-0.008355115295424737,1.0
3.6,11.330952959573882,-0.004369149339849082,1.0
3.7,11.340169855184595,-0.0004888787282990859,1.0
3.8,11.349179469391213,0.0032907899438065907,1.0
3.9,11.357992086663534,0.006974579330605954,1.0
4.0,11.36661723113211,0.010566876993279128,1.0
4.1,11.375063740259776,0.01407176683391173,1.0
4.2,11.383339829765928,0.01749305689567862,1.0
4.3,11.39145315102403,0.020834304024946182,1.0
4.4,11.39941084195846,0.02409883581345909,1.0
4.5,11.40721957230683,0.027289770174907746,1.0
4.6,11.414885583982052,0.030410032857252564,1.0
4.7,11.422414727158912,0.03346237314813379,1.0
4.8,11.429812492618758,0.03644937799387306,1.0
4.9,11.437084040809712,0.039373484721677135,1.0
5.0,11.444234228015631,0.04223699252861986,1.0
5.1,11.451267629973293,0.04504207287896203,1.0
5.2,11.458188563231388,0.04779077893269218,1.0
5.300000000000001,11.4650011045063,0.05048505411225959,1.0
5.4,11.471709108256558,0.05312673990088369,1.0
5.5,11.478316222669678,0.05571758295417931,1.0
5.6,11.48482590423089,0.058259241596825134,1.0
5.7,11.49124143102247,0.060753291767377884,1.0
5.800000000000001,11.497565914884538,0.06320123246687276,1.0
5.9,11.503802312552573,0.06560449076038889,1.0
6.0,11.509953435873578,0.06796442637513957,1.0
6.1,11.516021961191136,0.0702823359337533,1.0
6.2,11.522010437979372,0.07255945685713992,1.0
6.300000000000001,11.527921296797038,0.07479697096759284,1.0
6.4,11.533756856625194,0.07699600781950257,1.0
6.5,11.539519331644989,0.0791576477821647,1.0
6.6,11.54521083750629,0.08128292489663275,1.0
6.7,11.550833397132424,0.083372829526316,1.0
6.800000000000001,11.556388946101812,0.08542831081904335,1.0
6.9,11.561879337643,0.08745027899655249,1.0
7.0,11.56730634727611,0.08943960748580446,1.0
7.1000000000000005,11.572671677130359,0.09139713490513614,1.0
7.2,11.577976959964499,0.0933236669170218,1.0
7.3,11.583223762914457,0.09521997795811823,1.0
7.4,11.588413590990125,0.09708681285627224,1.0
7.5,11.59354789034126,0.09892488834329435,1.0
7.6000000000000005,11.5986280513106,0.1007348944715035,1.0
7.7,11.603655411290662,0.10251749594133894,1.0
7.800000000000001,11.608631257399232,0.104273333346697,1.0
7.9,11.613556828987194,0.10600302434406969,1.0
8.0,11.618433319991235,0.1077071647510456,1.0
8.100000000000001,11.623261881142781,0.10938632957926517,1.0
8.2,11.628043622043641,0.11104107400649034,1.0
8.3,11.63277961311792,0.11267193429207663,1.0
8.4,11.63747088744897,0.11427942863977392,1.0
8.5,11.64211844250943,0.11586405801147456,1.0
8.600000000000001,11.646723241791758,0.1174263068952374,1.0
8.7,11.651286216346074,0.11896664403065382,1.0
8.8,11.655808266231587,0.12048552309438317,1.0
8.9,11.66029026188735,0.12198338334847093,1.0
9.0,11.664733045427743,0.12346065025386092,1.0
9.100000000000001,11.669137431867542,0.12491773605133315,1.0
9.2,11.673504210281173,0.12635504031193207,1.0
9.3,11.677834144900345,0.12777295045880194,1.0
9.4,11.682127976153962,0.12917184226219988,1.0
9.5,11.68638642165394,0.13055208030933657,1.0
9.600000000000001,11.690610177130258,0.13191401845057302,1.0
9.7,11.694799917318393,0.13325800022339412,1.0
9.8,11.698956296801999,0.13458435925548445,1.0
9.9,11.703079950813528,0.13589341964813456,1.0
10.0,11.7071714959953,0.13718549634112706,1.0
